127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/css/calendar.css, HTTP/1.1, 200, 0.002169
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003118
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002374
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/jquery.js, HTTP/1.1, 200, 0.005090
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/calendar.js, HTTP/1.1, 200, 0.000679
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/web2py.js, HTTP/1.1, 200, 0.003168
127.0.0.1, 2017-08-22 17:41:19, GET, /she/static/js/share.js, HTTP/1.1, 200, 0.000623
127.0.0.1, 2017-08-22 17:41:20, GET, /she/static/images/twitter.png, HTTP/1.1, 200, 0.003427
127.0.0.1, 2017-08-22 17:41:20, GET, /she/static/images/favicon.ico, HTTP/1.1, 200, 0.002419
127.0.0.1, 2017-08-22 17:41:20, GET, /she/static/images/facebook.png, HTTP/1.1, 200, 0.002692
127.0.0.1, 2017-08-22 17:41:20, GET, /she/static/images/gplus-32.png, HTTP/1.1, 200, 0.001623
127.0.0.1, 2017-08-22 17:41:27, POST, /she/default/user/login, HTTP/1.1, 303, 0.255731
127.0.0.1, 2017-08-22 17:41:27, GET, /she/default/index, HTTP/1.1, 200, 0.042434
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000311
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000334
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/jquery.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/web2py.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000293
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/css/calendar.css, HTTP/1.1, 304, 0.000291
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/calendar.js, HTTP/1.1, 304, 0.002658
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001204
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/images/avatar_perfil.png, HTTP/1.1, 200, 0.000505
127.0.0.1, 2017-08-22 17:41:27, GET, /she/static/js/share.js, HTTP/1.1, 304, 0.000708
127.0.0.1, 2017-08-22 17:41:28, GET, /she/static/images/favicon.ico, HTTP/1.1, 304, 0.000269
127.0.0.1, 2017-08-22 17:41:28, GET, /she/static/images/background.jpg, HTTP/1.1, 200, 0.000455
127.0.0.1, 2017-08-22 17:41:28, GET, /she/static/images/twitter.png, HTTP/1.1, 304, 0.000372
127.0.0.1, 2017-08-22 17:41:28, GET, /she/static/images/facebook.png, HTTP/1.1, 304, 0.000357
127.0.0.1, 2017-08-22 17:41:28, GET, /she/static/images/gplus-32.png, HTTP/1.1, 304, 0.000482
127.0.0.1, 2017-08-22 17:41:36, GET, /she/perfil/index, HTTP/1.1, 200, 0.060896
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000335
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000344
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001061
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/jquery.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/calendar.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/css/calendar.css, HTTP/1.1, 304, 0.000924
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/web2py.js, HTTP/1.1, 304, 0.000518
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000838
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/share.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002234
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/images/twitter.png, HTTP/1.1, 304, 0.000386
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/images/facebook.png, HTTP/1.1, 304, 0.000234
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/images/gplus-32.png, HTTP/1.1, 304, 0.000365
127.0.0.1, 2017-08-22 17:41:37, GET, /she/static/images/favicon.ico, HTTP/1.1, 304, 0.000407
127.0.0.1, 2017-08-22 17:41:40, GET, /she/default/index, HTTP/1.1, 200, 0.047014
127.0.0.1, 2017-08-22 17:41:42, GET, /she/static/images/favicon.ico, HTTP/1.1, 304, 0.000518
